stop_ticks,stop_slippage_ticks,seed,train_mean,holdout_trades,holdout_win_rate,holdout_mean,holdout_rr,holdout_skew,wf_min,mc_pass_rate,mc_ev,mc_fail_mll,mc_fail_no_target,mc_avg_trades
20,0,20260714,-2.4549664958612536,1735,0.4674351585014409,-2.5684438040345823,0.9252571275628628,0.1251395218338019,-3.329676674364896,0.0354,-10.535399999999996,0.0,0.9502,29.7071
20,0,20260715,-3.1819526627218937,1737,0.47322970639032813,-2.2140184225676456,0.9303329595512746,0.09805868124258629,-3.095756880733945,0.049,23.451000000000008,0.0,0.9329,30.7728
20,0,20260716,-3.0669097359085535,1740,0.46436781609195404,-2.778735632183908,0.9206487588164773,0.14213856408947081,-3.024336283185841,0.032,-19.031999999999996,0.0,0.9533,28.6261
20,0,20260717,-2.057578155916106,1739,0.4675100632547441,-2.5209890741805636,0.9283775487437477,0.12272678470630675,-4.7665929203539825,0.0454,14.454600000000013,0.0,0.9407,30.4101
20,0,20260718,-2.358695652173913,1736,0.47580645161290325,-2.09375,0.9298420921988073,0.08840678091028345,-4.484513274336283,0.0555,39.69449999999999,0.0,0.9244,31.8543
20,0,20260719,-3.1115930599369084,1741,0.47673750717978175,-2.0870189546237796,0.9268013340673731,0.08749172872129388,-3.5831353919239906,0.0543,36.69569999999999,0.0,0.9276,31.6984
20,0,20260720,-3.9638768258981445,1739,0.46808510638297873,-2.495830937320299,0.9284335236854208,0.12002710964195182,-3.7408256880733943,0.046,15.953999999999994,0.0,0.9393,30.0681
20,0,20260721,-1.95698500394633,1740,0.4666666666666667,-2.5560344827586206,0.9289141702644522,0.12481652075855129,-3.273230088495575,0.0403,1.709699999999998,0.0,0.9437,29.9762
20,1,20260702,-3.8838194718171066,1737,0.45826137017846863,-3.6029073114565344,0.8887799694025751,0.15600152174891693,-4.208041958041958,0.0224,-43.0224,0.0,0.968,25.7184
20,1,20260703,-2.938041765169425,1743,0.46758462421113023,-3.1199082042455535,0.8899189584211152,0.11805920696711512,-4.890515222482436,0.027,-31.527,0.0,0.9591,27.1331
20,1,20260704,-3.2794117647058822,1733,0.46105020196191576,-3.4747547605308715,0.8880984823212635,0.14610661117956736,-4.896570796460177,0.0226,-42.52260000000001,0.0,0.9663,26.1115
20,1,20260705,-3.596608832807571,1735,0.4697406340057637,-3.075648414985591,0.8851801003407765,0.11341533730408528,-3.801418439716312,0.0296,-25.029600000000002,0.0,0.9549,27.711
20,1,20260706,-3.76567429022082,1736,0.49078341013824883,-1.9706221198156681,0.887840206766641,0.028032903972037844,-4.130530973451328,0.0603,51.6897,0.0,0.9172,31.9892
20,1,20260707,-4.018040220820189,1741,0.4830557151062608,-2.4144170017231477,0.8842896974730526,0.061661569889022584,-3.4668141592920354,0.0421,6.207899999999995,0.0,0.9365,29.7751
20,1,20260708,-2.7539447731755424,1742,0.4695752009184845,-3.0809414466130884,0.8852059131789476,0.11373747662128035,-4.041857798165138,0.0288,-27.02879999999999,0.0,0.9602,27.4565
20,1,20260709,-3.1945544554455445,1738,0.47583429228998847,-2.7484177215189876,0.886390733600967,0.08875399111186831,-3.9728132387706854,0.0379,-4.287899999999993,0.0,0.9463,28.708
20,1,20260710,-3.0987776025236595,1734,0.46655132641291813,-3.3161764705882355,0.8795389713726596,0.1322677215262913,-3.6991150442477876,0.0272,-31.027199999999993,0.0,0.9595,26.8113
20,1,20260711,-3.7014381402679275,1741,0.4652498564043653,-3.2881964388282596,0.8858403273720673,0.13095518352237911,-4.40962441314554,0.026,-34.026,0.0,0.9621,26.8216
20,1,20260712,-2.754048183254344,1738,0.46777905638665135,-3.1741944764096663,0.8850362246639226,0.12186427311165403,-4.9798850574712645,0.0263,-33.27629999999999,0.0,0.9593,27.1667
20,1,20260713,-3.358201581027668,1738,0.498849252013809,-1.6235615650172612,0.8836234820247767,-0.00010662152168922466,-2.88953488372093,0.069,73.43100000000001,0.0,0.9013,32.4536
20,1,20260714,-3.102384706346078,1735,0.4674351585014409,-3.222622478386167,0.8829994433271487,0.12412231641773805,-4.005196304849885,0.0279,-29.27789999999999,0.0,0.9594,27.0793
20,1,20260715,-3.8471400394477318,1737,0.47322970639032813,-2.8580886586067935,0.8879136820130205,0.0968874858646849,-3.7637614678899083,0.0328,-17.03279999999998,0.0,0.9509,28.0165
20,1,20260716,-3.72910918407568,1740,0.46436781609195404,-3.4367816091954024,0.8786501999270626,0.14102216632186731,-3.6935840707964602,0.0248,-37.0248,0.0,0.9642,26.4928
20,1,20260717,-2.6966759002770084,1739,0.4675100632547441,-3.171506612995975,0.8860974492251792,0.12151775450960024,-5.480088495575221,0.0255,-35.2755,0.0,0.962,27.4975
20,1,20260718,-3.0029644268774702,1736,0.47580645161290325,-2.734591013824885,0.8874705053851807,0.08724898423888813,-5.189712389380531,0.036,-9.036000000000001,0.0,0.9469,28.6701
