strategy,instrument,filter,session,entry_ts,side,signal_price,entry_price,target_price,stop_price,target_ticks,stop_ticks,exit_ts,exit_price,reason,gross_pnl,pnl,theoretical_gross_win
trend_pullback,ES,volatility+time_of_day,2026-02-03,2026-02-03 14:59:00+00:00,-1,6981.5,6981.25,6975.25,6986.5,25,20,2026-02-03 15:00:00+00:00,6975.25,target,300.0,296.5,312.5
trend_pullback,ES,volatility+time_of_day,2026-02-03,2026-02-03 15:01:00+00:00,-1,6972.25,6972.0,6966.0,6977.25,25,20,2026-02-03 15:03:00+00:00,6977.5,stop,-275.0,-278.5,312.5
trend_pullback,ES,volatility+time_of_day,2026-02-04,2026-02-04 14:46:00+00:00,1,6950.75,6951.0,6957.0,6945.75,25,20,2026-02-04 14:48:00+00:00,6957.0,target,300.0,296.5,312.5
trend_pullback,ES,volatility+time_of_day,2026-02-04,2026-02-04 14:51:00+00:00,-1,6945.0,6944.75,6938.75,6950.0,25,20,2026-02-04 14:53:00+00:00,6938.75,target,300.0,296.5,312.5
trend_pullback,ES,volatility+time_of_day,2026-02-04,2026-02-04 14:56:00+00:00,-1,6938.0,6937.75,6931.75,6943.0,25,20,2026-02-04 14:58:00+00:00,6931.75,target,300.0,296.5,312.5
trend_pullback,ES,volatility+time_of_day,2026-02-05,2026-02-05 14:45:00+00:00,1,6874.25,6874.5,6880.5,6869.25,25,20,2026-02-05 14:46:00+00:00,6869.0,stop,-275.0,-278.5,312.5
trend_pullback,ES,volatility+time_of_day,2026-02-05,2026-02-05 14:49:00+00:00,1,6873.75,6874.0,6880.0,6868.75,25,20,2026-02-05 14:50:00+00:00,6880.0,target,300.0,296.5,312.5
trend_pullback,ES,volatility+time_of_day,2026-02-05,2026-02-05 14:56:00+00:00,-1,6853.0,6852.75,6846.75,6858.0,25,20,2026-02-05 14:59:00+00:00,6846.75,target,300.0,296.5,312.5
trend_pullback,ES,volatility+time_of_day,2026-02-06,2026-02-06 14:47:00+00:00,1,6897.5,6897.75,6903.75,6892.5,25,20,2026-02-06 14:49:00+00:00,6892.25,stop,-275.0,-278.5,312.5
trend_pullback,ES,volatility+time_of_day,2026-02-06,2026-02-06 14:50:00+00:00,1,6900.25,6900.5,6906.5,6895.25,25,20,2026-02-06 14:51:00+00:00,6906.5,target,300.0,296.5,312.5
