entry_ts,exit_ts,side,entry_price,exit_price,stop_price,target_price,pnl,reason,session
2024-11-18 09:56:00,2024-11-18 09:59:00,-1,20511.25,20528.5,20528.25,20460.25,-35.5,stop,2024-11-18
2024-11-19 10:24:00,2024-11-19 13:47:00,1,20577.75,20775.75,20511.75,20775.75,395.0,target,2024-11-19
2024-11-28 10:30:00,2024-11-28 10:33:00,1,20899.25,20891.25,20891.5,20922.5,-17.0,stop,2024-11-28
2024-12-04 10:19:00,2024-12-04 15:50:00,1,21447.0,21542.25,21415.25,21542.25,189.5,target,2024-12-04
2024-12-11 09:40:00,2024-12-11 10:07:00,1,21624.25,21714.25,21594.25,21714.25,179.0,target,2024-12-11
2024-12-16 10:22:00,2024-12-16 12:59:00,1,21949.25,22088.75,21902.75,22088.75,278.0,target,2024-12-16
2024-12-17 09:48:00,2024-12-17 09:50:00,1,22051.0,22024.25,22024.5,22130.5,-54.5,stop,2024-12-17
2024-12-19 09:44:00,2024-12-19 15:55:00,-1,21585.75,21429.75,21673.75,21321.75,311.0,session_flatten,2024-12-19
2024-12-20 10:01:00,2024-12-20 11:11:00,1,21275.25,21621.0,21160.0,21621.0,690.5,target,2024-12-20
2024-12-23 10:18:00,2024-12-23 10:23:00,-1,21527.25,21567.75,21567.5,21406.5,-82.0,stop,2024-12-23
2024-12-26 10:06:00,2024-12-26 10:24:00,-1,21956.75,21981.0,21980.75,21884.75,-49.5,stop,2024-12-26
2024-12-27 09:38:00,2024-12-27 10:06:00,-1,21723.5,21584.75,21769.75,21584.75,276.5,target,2024-12-27
2024-12-31 09:50:00,2024-12-31 10:02:00,-1,21406.25,21454.25,21454.0,21263.0,-97.0,stop,2024-12-31
2025-01-03 09:50:00,2025-01-03 09:51:00,1,21381.75,21344.5,21344.75,21492.75,-75.5,stop,2025-01-03
2025-01-06 09:45:00,2025-01-06 13:01:00,1,21814.0,21766.0,21766.25,21957.25,-97.0,stop,2025-01-06
2025-01-07 09:56:00,2025-01-07 10:10:00,-1,21734.25,21551.25,21795.25,21551.25,365.0,target,2025-01-07
2025-01-10 09:46:00,2025-01-10 13:49:00,-1,21062.75,21137.75,21137.5,20838.5,-151.0,stop,2025-01-10
2025-01-15 09:56:00,2025-01-15 11:32:00,1,21322.75,21288.0,21288.25,21426.25,-70.5,stop,2025-01-15
2025-01-16 09:58:00,2025-01-16 10:08:00,-1,21388.5,21414.25,21414.0,21312.0,-52.5,stop,2025-01-16
2025-01-20 09:40:00,2025-01-20 09:57:00,1,21757.25,21730.5,21730.75,21836.75,-54.5,stop,2025-01-20
2025-01-23 09:43:00,2025-01-23 09:56:00,1,21910.5,21893.0,21893.25,21962.25,-36.0,stop,2025-01-23
2025-01-27 10:23:00,2025-01-27 11:23:00,1,21300.75,21227.0,21227.25,21521.25,-148.5,stop,2025-01-27
2025-01-28 09:41:00,2025-01-28 09:52:00,-1,21197.5,21237.25,21237.0,21079.0,-80.5,stop,2025-01-28
2025-01-29 09:49:00,2025-01-29 09:52:00,-1,21502.25,21534.0,21533.75,21407.75,-64.5,stop,2025-01-29
2025-01-30 10:02:00,2025-01-30 15:55:00,-1,21598.0,21643.5,21749.0,21145.0,-92.0,session_flatten,2025-01-30
2025-02-03 10:24:00,2025-02-03 15:55:00,1,21313.5,21418.5,21113.0,21915.0,209.0,session_flatten,2025-02-03
2025-02-04 09:42:00,2025-02-04 10:00:00,1,21511.5,21597.0,21483.0,21597.0,170.0,target,2025-02-04
2025-02-05 09:41:00,2025-02-05 09:42:00,1,21573.5,21554.5,21554.75,21629.75,-39.0,stop,2025-02-05
2025-02-06 09:51:00,2025-02-06 09:59:00,1,21797.25,21776.0,21776.25,21860.25,-43.5,stop,2025-02-06
2025-02-12 10:16:00,2025-02-12 14:49:00,1,21642.75,21830.25,21580.25,21830.25,374.0,target,2025-02-12
2025-02-13 09:47:00,2025-02-13 09:56:00,-1,21864.25,21908.5,21908.25,21732.25,-89.5,stop,2025-02-13
2025-02-14 10:16:00,2025-02-14 10:18:00,1,22152.0,22131.0,22131.25,22214.25,-43.0,stop,2025-02-14
2025-02-21 09:49:00,2025-02-21 10:24:00,-1,22118.75,22017.5,22152.5,22017.5,201.5,target,2025-02-21
2025-02-25 09:46:00,2025-02-25 09:53:00,-1,21312.5,21218.75,21343.75,21218.75,186.5,target,2025-02-25
