strategy,instrument,target_ticks,stop_ticks,split,n_trades,win_rate,avg_win,avg_loss,realized_rr,mean_pnl,skew,kurtosis,max_consec_losses,friction_pct_avg_gross_win
time_scalp,MES,30,24,train,1228,0.4714983713355049,34.90673575129534,-33.10901386748844,1.0542970530926075,-1.039698697068404,0.11324570360517754,-1.9783516452759125,11,0.09747474747474748
time_scalp,MES,30,24,holdout,848,0.4375,34.70754716981132,-32.94706498951782,1.0534336573182954,-3.348172169811321,0.2505675399531106,-1.9238045999100242,10,0.09801849405548217
vwap_reversion,ES,10,8,train,924,0.41125541125541126,109.0,-128.5,0.8482490272373541,-30.826839826839826,0.3612921412252475,-1.8735279436445744,10,0.25333333333333335
vwap_reversion,ES,10,8,holdout,616,0.4237012987012987,108.71264367816092,-128.5,0.8460127912697347,-27.992694805194805,0.31115737520913656,-1.9081076778923798,9,0.2539820742637644
vwap_reversion,ES,15,12,train,921,0.4256243213897937,171.14923469387756,-178.16918714555766,0.960599514629064,-29.490770901194352,0.30062761616088635,-1.9115986533503917,11,0.16318422494066093
vwap_reversion,ES,15,12,holdout,616,0.4805194805194805,171.2466216216216,-178.5,0.9593648270118857,-10.439935064935066,0.07894105854210139,-1.9995286753458796,6,0.16309328177863702
vwap_reversion,ES,20,16,train,920,0.40652173913043477,233.298128342246,-227.60714285714286,1.025003545203654,-40.23913043478261,0.3791164928682159,-1.8559149248626003,12,0.12035568101623147
vwap_reversion,ES,20,16,holdout,615,0.46991869918699186,234.0,-228.5,1.0240700218818382,-11.16260162601626,0.1208384849669937,-1.9918863670984037,7,0.12
vwap_reversion,ES,25,20,train,914,0.437636761487965,296.5,-277.284046692607,1.0693006090202353,-26.175054704595187,0.24904264201544807,-1.9396114215285767,11,0.095
vwap_reversion,ES,25,20,holdout,615,0.46178861788617886,296.5,-278.5,1.0646319569120288,-12.971544715447154,0.15366889202738032,-1.9828447744615738,10,0.095
vwap_reversion,ES,30,24,train,911,0.41712403951701427,359.0,-326.3578154425612,1.1000196196103775,-40.478594950603735,0.33156107971699045,-1.889780960909398,9,0.07862068965517241
vwap_reversion,ES,30,24,holdout,613,0.4535073409461664,359.0,-327.9029850746269,1.0948360226677893,-16.387438825448612,0.18588328305804935,-1.9707516657192619,10,0.07862068965517241
trend_pullback,ES,10,8,train,894,0.4395973154362416,109.0,-128.3003992015968,0.8495686738178396,-23.9837807606264,0.24205020899752186,-1.944667597827376,11,0.25333333333333335
trend_pullback,ES,10,8,holdout,609,0.37438423645320196,109.0,-128.5,0.8482490272373541,-39.583743842364534,0.520395178763099,-1.7348972194369485,14,0.25333333333333335
trend_pullback,ES,15,12,train,890,0.4752808988764045,171.5,-178.17880085653104,0.962516299220642,-11.98314606741573,0.09738657295430948,-1.9939135093419924,9,0.16285714285714287
trend_pullback,ES,15,12,holdout,609,0.41379310344827586,171.5,-178.5,0.9607843137254902,-33.672413793103445,0.35093498495923336,-1.8830395104633055,9,0.16285714285714287
trend_pullback,ES,20,16,train,890,0.4752808988764045,234.0,-228.07173447537474,1.0259929865411066,-8.457865168539326,0.09736089978459261,-1.9939137302709007,9,0.12
trend_pullback,ES,20,16,holdout,608,0.4194078947368421,234.0,-228.5,1.0240700218818382,-34.52384868421053,0.32744785042430047,-1.8990356052769084,10,0.12
trend_pullback,ES,25,20,train,885,0.48361581920903957,296.5,-277.95295404814004,1.0667272848938592,-0.1384180790960452,0.06385733561209546,-1.999346721007426,10,0.095
trend_pullback,ES,25,20,holdout,606,0.4207920792079208,295.96078431372547,-278.5,1.0626958144119407,-36.771452145214525,0.32267037396760667,-1.9012448060327818,15,0.09517105909314127
trend_pullback,ES,30,24,train,882,0.47278911564625853,359.0,-327.4516129032258,1.0963451876662398,-2.9047619047619047,0.10651122812939676,-1.9913455560861988,11,0.07862068965517241
trend_pullback,ES,30,24,holdout,603,0.4494195688225539,358.2619926199262,-328.19879518072287,1.0916005722161444,-19.68988391376451,0.20486719025795533,-1.9629699804636793,9,0.0787810786688767
time_scalp,ES,10,8,train,1398,0.4434907010014306,109.0,-128.37146529562983,0.8490983549107366,-23.09942775393419,0.22662228053356262,-1.9507355516955094,12,0.25333333333333335
time_scalp,ES,10,8,holdout,923,0.4507042253521127,109.0,-128.40138067061145,0.8489005291899323,-21.403575297941494,0.19796811681931276,-1.964580415732122,8,0.25333333333333335
time_scalp,ES,15,12,train,1378,0.4644412191582003,171.5,-178.17818428184282,0.9625196299493138,-15.77322206095791,0.1411424030280067,-1.9818382355539716,11,0.16285714285714287
time_scalp,ES,15,12,holdout,912,0.44846491228070173,171.19437652811735,-177.7047713717694,0.9633639840202608,-21.23574561403509,0.2044336490627696,-1.9587692132686543,9,0.16314205738278517
time_scalp,ES,20,16,train,1342,0.46870342771982115,233.30445151033388,-227.79873772791024,1.0241692023289428,-11.678092399403875,0.12510623951450672,-1.9838318032636302,9,0.12035246727089627
time_scalp,ES,20,16,holdout,892,0.4304932735426009,234.0,-226.8513779527559,1.0315123589363113,-28.457959641255606,0.27407072509400776,-1.924630692634434,12,0.12
time_scalp,ES,25,20,train,1296,0.4683641975308642,294.29654036243824,-276.2866473149492,1.0651855354665725,-9.04591049382716,0.1269818514822915,-1.9782568582845537,9,0.09570292510891362
time_scalp,ES,25,20,holdout,861,0.43902439024390244,295.8716931216931,-275.7308488612836,1.0730453061149574,-24.783391405342623,0.23823933905916708,-1.94041156719683,10,0.09519938142052359
time_scalp,ES,30,24,train,1232,0.46915584415584416,355.4749134948097,-323.77905198776756,1.097893490367745,-5.103084415584416,0.12052631849754035,-1.9751886114524349,11,0.07939273450207844
time_scalp,ES,30,24,holdout,838,0.43675417661097854,352.2035519125683,-323.07097457627117,1.0901739234683847,-28.14200477326969,0.2570608734398629,-1.9183791556203016,9,0.08012289966394624
